Albany  ,team://arena/albany,/arena/albany
Amarillo Dusters,team://arena/amarillo_dusters,/arena/amarillo_dusters
Arizona Rattlers,team://arena/arizona_rattlers,/arena/arizona_rattlers
Arkansas Twisters,team://arena/arkansas_twisters,/arena/arkansas_twisters
Boise Burn,team://arena/boise_burn,/arena/boise_burn
Bossier-shrevep Battle Wings,team://arena/bossier_shrevep_battle_wings,/arena/bossier_shrevep_battle_wings
Bossier-Shreveport Battle Wings,team://arena/bossier_shreveport_battle_wings,/arena/bossier_shreveport_battle_wings
Central Valley Coyotes,team://arena/central_valley_coyotes,/arena/central_valley_coyotes
Chicago Rush,team://arena/chicago_rush,/arena/chicago_rush
Cleveland Gladiators,team://arena/cleveland_gladiators,/arena/cleveland_gladiators
Colorado Crush,team://arena/colorado_crush,/arena/colorado_crush
Columbus Destroyers,team://arena/columbus_destroyers,/arena/columbus_destroyers
Corpus Christi Sharks,team://arena/corpus_christi_sharks,/arena/corpus_christi_sharks
Dallas Desperadoes,team://arena/dallas_desperadoes,/arena/dallas_desperadoes
Florida Firecats,team://arena/florida_firecats,/arena/florida_firecats
Georgia Force,team://arena/georgia_force,/arena/georgia_force
Grand Rapids Rampage,team://arena/grand_rapids_rampage,/arena/grand_rapids_rampage
Green Bay Blizzard,team://arena/green_bay_blizzard,/arena/green_bay_blizzard
Iowa Barnstormers,team://arena/iowa_barnstormers,/arena/iowa_barnstormers
Kansas City Brigade,team://arena/kansas_city_brigade,/arena/kansas_city_brigade
Kentucky Horsemen,team://arena/kentucky_horsemen,/arena/kentucky_horsemen
LA Avengers,team://arena/la_avengers,/arena/la_avengers
Mahoning Valley Thunder,team://arena/mahoning_valley_thunder,/arena/mahoning_valley_thunder
Manchester Wolves,team://arena/manchester_wolves,/arena/manchester_wolves
Milwaukee Iron,team://arena/milwaukee_iron,/arena/milwaukee_iron
NY Dragons,team://arena/ny_dragons,/arena/ny_dragons
Oklahoma City Yard Dawgz,team://arena/oklahoma_city_yard_dawgz,/arena/oklahoma_city_yard_dawgz
Orlando Predators,team://arena/orlando_predators,/arena/orlando_predators
Peoria Pirates,team://arena/peoria_pirates,/arena/peoria_pirates
Philadelphia Soul,team://arena/philadelphia_soul,/arena/philadelphia_soul
Quad City Steamwheelers,team://arena/quad_city_steamwheelers,/arena/quad_city_steamwheelers
Rio Grande Dorados,team://arena/rio_grande_dorados,/arena/rio_grande_dorados
San Jose Sabercats,team://arena/san_jose_sabercats,/arena/san_jose_sabercats
South Georgia Wildcats,team://arena/south_georgia_wildcats,/arena/south_georgia_wildcats
Spokane Shock,team://arena/spokane_shock,/arena/spokane_shock
Stockton Lightning,team://arena/stockton_lightning,/arena/stockton_lightning
Tampa Bay Storm,team://arena/tampa_bay_storm,/arena/tampa_bay_storm
Tenn Valley Vipers,team://arena/tenn_valley_vipers,/arena/tenn_valley_vipers
Toledo Bullfrogs,team://arena/toledo_bullfrogs,/arena/toledo_bullfrogs
Tri-Cities Fever,team://arena/tri_cities_fever,/arena/tri_cities_fever
Tulsa Talons,team://arena/tulsa_talons,/arena/tulsa_talons
Utah Sabercats,team://arena/utah_sabercats,/arena/utah_sabercats
Wb Scranton Pioneers,team://arena/wb_scranton_pioneers,/arena/wb_scranton_pioneers
AIR Force Falcons,team://baseball/air_force_falcons,/baseball/air_force_falcons
Akron Aeros,team://baseball/akron_aeros,/baseball/akron_aeros
Akron Zips,team://baseball/akron_zips,/baseball/akron_zips
Alabama Crimson Tide,team://baseball/alabama_crimson_tide,/baseball/alabama_crimson_tide
Alabama St Hornets,team://baseball/alabama_st_hornets,/baseball/alabama_st_hornets
Albany Panthers,team://baseball/albany_panthers,/baseball/albany_panthers
Albuquerque,team://baseball/albuquerque,/baseball/albuquerque
Alcorn St Braves,team://baseball/alcorn_st_braves,/baseball/alcorn_st_braves
Altoona Curve,team://baseball/altoona_curve,/baseball/altoona_curve
Appalachian St Mountaineers,team://baseball/appalachian_st_mountaineers,/baseball/appalachian_st_mountaineers
Ariz Montreal,team://baseball/ariz_montreal,/baseball/ariz_montreal
Arizona,team://baseball/arizona,/baseball/arizona
Arizona Angels,team://baseball/arizona_angels,/baseball/arizona_angels
Arizona Athletics,team://baseball/arizona_athletics,/baseball/arizona_athletics
Arizona Brewers,team://baseball/arizona_brewers,/baseball/arizona_brewers
Arizona Cubs,team://baseball/arizona_cubs,/baseball/arizona_cubs
Arizona Giants,team://baseball/arizona_giants,/baseball/arizona_giants
Arizona Mariners,team://baseball/arizona_mariners,/baseball/arizona_mariners
Arizona Padres,team://baseball/arizona_padres,/baseball/arizona_padres
Arizona Rangers,team://baseball/arizona_rangers,/baseball/arizona_rangers
Arizona Royals,team://baseball/arizona_royals,/baseball/arizona_royals
Arizona St Sun Devils,team://baseball/arizona_st_sun_devils,/baseball/arizona_st_sun_devils
Arizona Wildcats,team://baseball/arizona_wildcats,/baseball/arizona_wildcats
Arkansas-pine Bluff Golden Lions,team://baseball/arkansas_pine_bluff_golden_lions,/baseball/arkansas_pine_bluff_golden_lions
Arkansas Razorbacks,team://baseball/arkansas_razorbacks,/baseball/arkansas_razorbacks
Arkansas St Red Wolves,team://baseball/arkansas_st_red_wolves,/baseball/arkansas_st_red_wolves
Army Black Knights,team://baseball/army_black_knights,/baseball/army_black_knights
Asheville,team://baseball/asheville,/baseball/asheville
Atlanta 1,team://baseball/atlanta_1,/baseball/atlanta_1
Atlanta 2,team://baseball/atlanta_2,/baseball/atlanta_2
Atlantic City,team://baseball/atlantic_city,/baseball/atlantic_city
Auburn Tigers,team://baseball/auburn_tigers,/baseball/auburn_tigers
Augusta,team://baseball/augusta,/baseball/augusta
Austin Peay Governors,team://baseball/austin_peay_governors,/baseball/austin_peay_governors
Azucareros del Este,team://baseball/azucareros_del_este,/baseball/azucareros_del_este
Bakersfield Blaze,team://baseball/bakersfield_blaze,/baseball/bakersfield_blaze
Ball St Cardinals,team://baseball/ball_st_cardinals,/baseball/ball_st_cardinals
Baltimore,team://baseball/baltimore,/baseball/baltimore
Baylor Bears,team://baseball/baylor_bears,/baseball/baylor_bears
Beloit Snappers,team://baseball/beloit_snappers,/baseball/beloit_snappers
Binghamton Mets,team://baseball/binghamton_mets,/baseball/binghamton_mets
Bluefield Orioles,team://baseball/bluefield_orioles,/baseball/bluefield_orioles
Boston,team://baseball/boston,/baseball/boston
Boston 2,team://baseball/boston_2,/baseball/boston_2
Bourne Braves,team://baseball/bourne_braves,/baseball/bourne_braves
Bowie Bay Sox,team://baseball/bowie_bay_sox,/baseball/bowie_bay_sox
Brevard County Manatees,team://baseball/brevard_county_manatees,/baseball/brevard_county_manatees
Brewster Whitecaps,team://baseball/brewster_whitecaps,/baseball/brewster_whitecaps
Bridgeport Bluefish,team://baseball/bridgeport_bluefish,/baseball/bridgeport_bluefish
Bristol Sox,team://baseball/bristol_sox,/baseball/bristol_sox
Brockton,team://baseball/brockton,/baseball/brockton
Buffalo Bisons,team://baseball/buffalo_bisons,/baseball/buffalo_bisons
Burlington Bees,team://baseball/burlington_bees,/baseball/burlington_bees
Burlington Royals,team://baseball/burlington_royals,/baseball/burlington_royals
Camden Riversharks,team://baseball/camden_riversharks,/baseball/camden_riversharks
Cangrejeros de Santurce,team://baseball/cangrejeros_de_santurce,/baseball/cangrejeros_de_santurce
Cedar Rapids Kernels,team://baseball/cedar_rapids_kernels,/baseball/cedar_rapids_kernels
Charleston,team://baseball/charleston,/baseball/charleston
Charlotte Knights,team://baseball/charlotte_knights,/baseball/charlotte_knights
Chatham Anglers,team://baseball/chatham_anglers,/baseball/chatham_anglers
Chicago Al,team://baseball/chicago_al,/baseball/chicago_al
Chicago Nl,team://baseball/chicago_nl,/baseball/chicago_nl
Chillicothe Paints,team://baseball/chillicothe_paints,/baseball/chillicothe_paints
Cincinnati,team://baseball/cincinnati,/baseball/cincinnati
Clearwater Threshers,team://baseball/clearwater_threshers,/baseball/clearwater_threshers
